customer_id,tenure_months,contract_type,network_type,monthly_bill,total_call_duration,days_since_recharge,network_drops,complaints,churn_label
TEL-12592,11,Month-to-Month,5G,104.56,549,44,1,0,0
TEL-12593,62,1-Year,4G,54.21,659,21,0,1,0
TEL-12594,52,Month-to-Month,4G,73.17,0,75,11,0,1
TEL-12595,53,1-Year,5G,59.5,561,38,0,0,0
TEL-12596,4,Month-to-Month,4G,25.05,309,24,0,0,0
TEL-12597,50,2-Year,4G,71.68,298,34,0,0,0
TEL-12598,11,Month-to-Month,4G,112.44,493,25,1,0,1
TEL-12599,66,Month-to-Month,5G,56.26,393,31,1,0,1
TEL-12600,70,1-Year,4G,22.46,488,6,3,2,0
TEL-12601,48,Month-to-Month,4G,29.41,319,27,5,0,0
TEL-12602,64,Month-to-Month,4G,39.8,251,21,0,0,1
TEL-12603,51,Month-to-Month,5G,61.9,684,17,1,2,1
TEL-12604,69,Month-to-Month,5G,77.94,636,32,2,0,0
TEL-12605,53,2-Year,5G,35.43,416,43,1,3,0
TEL-12606,45,1-Year,5G,61.3,457,35,0,0,0
TEL-12607,34,1-Year,4G,32.5,494,31,3,1,0
TEL-12608,48,1-Year,4G,45.06,0,114,0,0,1
TEL-12609,39,2-Year,4G,70.34,351,14,0,4,0
TEL-12610,20,Month-to-Month,4G,77.55,0,119,1,0,1
TEL-12611,58,Month-to-Month,4G,49.33,616,35,1,1,0
TEL-12612,57,2-Year,4G,90.3,303,16,0,0,0
TEL-12613,45,1-Year,4G,101.12,462,35,2,0,0
TEL-12614,5,1-Year,5G,48.27,428,20,1,0,0
TEL-12615,40,1-Year,4G,30.07,479,42,1,0,0
TEL-12616,70,,5G,33.31,571,22,1,0,0
TEL-12617,40,Month-to-Month,4G,55.96,609,22,0,0,1
TEL-12618,43,Month-to-Month,4G,78.86,666,33,0,1,0
TEL-12619,49,Month-to-Month,4G,46.05,672,30,0,2,0
TEL-12620,24,Month-to-Month,5G,110.12,819,29,12,0,0
TEL-12621,22,Month-to-Month,5G,27.49,542,17,1,0,1
TEL-12622,43,2-Year,5G,44.25,379,33,1,1,0
TEL-12623,56,Month-to-Month,5G,66.74,487,48,2,2,0
TEL-12624,71,2-Year,4G,50.66,424,12,0,2,1
TEL-12625,13,1-Year,4G,46.43,793,23,2,2,0
TEL-12626,7,1-Year,4G,100.79,340,33,2,0,0
TEL-12627,47,Month-to-Month,4G,42.58,28,25,0,2,1
TEL-12628,40,Month-to-Month,5G,95.4,641,27,3,3,1
TEL-12629,52,1-Year,4G,104.02,553,33,0,0,0
TEL-12630,40,Month-to-Month,4G,38.44,275,13,0,2,0
TEL-12631,28,Month-to-Month,4G,102.22,369,46,0,0,0
TEL-12632,21,Month-to-Month,5G,50.24,556,33,2,0,0
TEL-12633,38,Month-to-Month,4G,53.6,576,20,2,4,1
TEL-12634,4,2-Year,4G,58.6,380,24,0,0,0
TEL-12635,60,Month-to-Month,4G,28.33,427,34,0,0,0
TEL-12636,32,2-Year,5G,116.29,637,33,1,0,0
TEL-12637,56,Month-to-Month,5G,98.7,531,24,0,0,0
TEL-12638,58,1-Year,5G,102.72,315,24,0,0,0
TEL-12639,47,1-Year,4G,81.63,42,20,2,0,0
TEL-12640,1,Month-to-Month,4G,47.49,481,36,5,0,0
TEL-12641,13,1-Year,4G,98.15,324,35,1,0,0
TEL-12642,69,,4G,113.53,389,27,0,0,0
TEL-12643,29,Month-to-Month,5G,71.03,697,28,5,1,1
TEL-12644,14,2-Year,5G,62.44,427,34,11,0,0
TEL-12645,71,Month-to-Month,4G,58.79,565,34,0,1,0
TEL-12646,69,Month-to-Month,4G,115.01,210,33,0,0,0
TEL-12647,33,2-Year,4G,116.45,565,14,2,2,0
TEL-12648,41,Month-to-Month,5G,33.43,431,21,1,3,0
TEL-12649,16,1-Year,4G,71.7,666,23,0,0,0
TEL-12650,57,Month-to-Month,4G,53.34,452,24,4,1,0
TEL-12651,68,Month-to-Month,5G,36.31,567,42,4,0,0
TEL-12652,50,Month-to-Month,5G,82.65,585,31,2,0,0
TEL-12653,59,1-Year,4G,47.51,529,28,0,0,0
TEL-12654,57,Month-to-Month,4G,60.12,658,22,5,1,1
TEL-12655,42,1-Year,4G,113.79,521,39,2,3,0
TEL-12656,56,Month-to-Month,4G,38.73,379,35,0,0,0
TEL-12657,58,Month-to-Month,4G,39.72,291,20,1,0,0
TEL-12658,48,Month-to-Month,4G,96.6,638,22,0,0,1
TEL-12659,58,2-Year,4G,27.23,394,33,0,0,0
TEL-12660,52,1-Year,5G,27.39,341,28,0,0,0
TEL-12661,52,1-Year,4G,42.69,463,27,1,3,0
TEL-12662,69,2-Year,5G,61.47,631,12,0,1,0
TEL-12663,62,1-Year,4G,44.16,343,22,0,0,0
TEL-12664,19,Month-to-Month,5G,98.48,837,14,2,0,0
TEL-12665,7,Month-to-Month,4G,65.19,496,20,0,1,0
TEL-12666,41,Month-to-Month,4G,29.87,458,23,0,1,0
TEL-12667,5,Month-to-Month,4G,74.35,253,27,0,0,1
TEL-12668,39,Month-to-Month,4G,106.81,383,23,2,0,1
TEL-12669,23,2-Year,4G,43.65,778,19,0,3,0
TEL-12670,27,Month-to-Month,4G,23.17,0,108,0,0,1
TEL-12671,71,1-Year,4G,36.89,566,22,0,0,0
TEL-12672,38,2-Year,4G,78.97,461,23,3,0,0
TEL-12673,25,Month-to-Month,4G,71.93,597,27,0,0,1
TEL-12674,54,1-Year,5G,112.71,547,29,2,0,0
TEL-12675,25,2-Year,4G,56.24,325,19,1,1,0
TEL-12676,59,Month-to-Month,4G,73.42,383,38,0,0,0
TEL-12677,55,1-Year,4G,68.18,603,18,0,0,0
TEL-12678,12,Month-to-Month,5G,88.71,752,29,1,0,0
TEL-12679,2,Month-to-Month,4G,32.73,295,18,0,2,1
TEL-12680,37,1-Year,5G,89.07,667,32,3,0,0
TEL-12681,18,1-Year,4G,22.2,0,85,0,1,1
TEL-12682,68,1-Year,5G,58.39,526,18,6,0,0
TEL-12683,21,Month-to-Month,5G,99.56,0,108,0,1,1
TEL-12684,42,Month-to-Month,5G,31.8,378,49,5,0,0
TEL-12685,50,1-Year,5G,98.38,774,26,1,0,0
TEL-12686,19,Month-to-Month,5G,77.71,464,25,1,1,0
TEL-12687,51,Month-to-Month,5G,77.89,0,76,0,1,1
TEL-12688,46,1-Year,5G,66.57,579,27,2,0,0
TEL-12689,45,Month-to-Month,5G,74.55,397,39,2,0,0
TEL-12690,54,1-Year,4G,50.31,624,19,0,1,0
TEL-12691,49,Month-to-Month,4G,54.7,598,28,0,0,1
TEL-12692,50,Month-to-Month,4G,24.16,647,28,3,0,0
TEL-12693,14,Month-to-Month,4G,64.84,318,33,5,1,0
TEL-12694,5,Month-to-Month,4G,54.16,575,22,1,0,0
TEL-12695,17,Month-to-Month,4G,61.9,364,26,1,2,1
TEL-12696,68,Month-to-Month,4G,96.09,648,37,0,0,0
TEL-12697,26,,5G,94.53,672,49,1,1,0
TEL-12698,37,Month-to-Month,5G,43.37,617,22,3,0,0
TEL-12699,25,Month-to-Month,4G,99.05,412,26,2,2,0
TEL-12700,21,2-Year,4G,65.79,538,25,0,0,0
TEL-12701,20,Month-to-Month,5G,73.89,847,11,0,3,0
TEL-12702,13,2-Year,4G,109.86,464,23,8,0,0
TEL-12703,39,Month-to-Month,4G,105.06,473,20,0,0,0
TEL-12704,60,Month-to-Month,4G,103.68,376,22,0,0,0
TEL-12705,67,Month-to-Month,4G,111.07,324,40,4,0,1
TEL-12706,17,2-Year,4G,95.34,567,19,1,1,0
TEL-12707,52,1-Year,4G,103.9,0,100,0,0,1
TEL-12708,23,2-Year,4G,32.72,484,43,3,0,0
TEL-12709,49,1-Year,5G,115.08,562,43,0,0,0
TEL-12710,54,1-Year,4G,74.87,497,45,3,1,0
TEL-12711,55,1-Year,4G,74.38,382,35,2,0,0
TEL-12712,17,Month-to-Month,4G,82.86,357,11,2,3,1
TEL-12713,34,Month-to-Month,4G,44.1,492,12,0,1,0
TEL-12714,63,Month-to-Month,4G,89.35,715,20,3,3,0
TEL-12715,62,Month-to-Month,4G,109.21,0,118,1,1,1
TEL-12716,2,Month-to-Month,4G,58.05,559,34,0,0,1
TEL-12717,49,Month-to-Month,5G,92.06,639,39,0,0,0
TEL-12718,18,Month-to-Month,4G,114.76,930,31,5,1,0
TEL-12719,66,Month-to-Month,5G,47.15,735,21,0,1,0
TEL-12720,8,Month-to-Month,4G,35.1,320,43,1,0,1
TEL-12721,42,Month-to-Month,4G,36.42,603,17,0,0,1
TEL-12722,53,1-Year,5G,49.36,403,16,0,0,0
TEL-12723,68,Month-to-Month,4G,80.46,744,16,2,0,0
TEL-12724,55,1-Year,4G,60.88,518,39,0,0,0
TEL-12725,13,Month-to-Month,4G,119.98,821,36,3,1,1
TEL-12726,13,Month-to-Month,4G,79.04,534,46,2,1,0
TEL-12727,32,1-Year,5G,57.09,0,114,6,2,1
TEL-12728,59,Month-to-Month,5G,55.17,621,1,9,0,1
TEL-12729,8,2-Year,4G,61.87,577,38,5,1,0
TEL-12730,55,2-Year,4G,25.67,501,27,0,0,0
TEL-12731,11,Month-to-Month,4G,92.83,682,22,0,1,0
TEL-12732,8,Month-to-Month,4G,108.23,796,32,1,0,0
TEL-12733,69,Month-to-Month,4G,98.88,571,1,5,0,1
TEL-12734,71,1-Year,4G,44.77,669,13,0,0,0
TEL-12735,11,Month-to-Month,4G,92.18,448,21,0,0,0
TEL-12736,11,Month-to-Month,4G,66.51,641,38,0,0,0
TEL-12737,16,Month-to-Month,5G,45.41,390,35,1,0,0
TEL-12738,23,1-Year,5G,88.03,542,12,0,3,0
TEL-12739,61,2-Year,4G,79.48,300,11,0,0,0
TEL-12740,1,2-Year,5G,111.61,340,30,1,0,0
TEL-12741,43,Month-to-Month,4G,48.53,575,40,0,2,1
TEL-12742,43,1-Year,4G,85.37,551,14,0,2,0
TEL-12743,70,Month-to-Month,5G,79.19,442,30,2,0,0
TEL-12744,53,2-Year,5G,55.66,356,33,3,1,0
TEL-12745,66,1-Year,4G,119.74,651,35,1,3,0
TEL-12746,59,1-Year,5G,103.17,451,31,1,0,0
TEL-12747,2,1-Year,4G,59.52,613,27,4,2,0
TEL-12748,5,Month-to-Month,4G,23.38,521,4,2,0,0
TEL-12749,9,Month-to-Month,4G,91.6,608,44,0,2,0
TEL-12750,46,Month-to-Month,4G,103.56,510,31,0,0,1
TEL-12751,68,1-Year,5G,105.1,592,24,2,0,0
TEL-12752,17,1-Year,4G,64.91,610,32,1,0,0
TEL-12753,17,Month-to-Month,4G,110.46,606,17,0,0,0
TEL-12754,31,1-Year,4G,48.44,552,46,3,1,0
TEL-12755,42,1-Year,4G,118.2,572,17,2,0,0
TEL-12756,25,Month-to-Month,4G,67.11,469,22,2,1,0
TEL-12757,54,Month-to-Month,4G,64.94,441,25,1,0,0
TEL-12758,56,2-Year,4G,87.82,565,31,0,0,0
TEL-12759,35,Month-to-Month,5G,41.64,666,29,6,1,1
TEL-12760,39,Month-to-Month,4G,31.37,541,37,3,0,0
TEL-12761,26,1-Year,4G,102.32,542,21,0,0,0
TEL-12762,10,Month-to-Month,4G,34.75,326,25,3,0,0
TEL-12763,20,Month-to-Month,5G,74.4,559,23,0,0,0
TEL-12764,33,2-Year,4G,112.17,628,40,3,0,0
TEL-12765,26,,4G,95.88,403,35,0,0,0
TEL-12766,48,2-Year,4G,116.33,450,22,1,2,0
TEL-12767,57,Month-to-Month,5G,50.75,528,36,4,0,0
TEL-12768,23,Month-to-Month,4G,96.26,415,36,2,0,1
TEL-12769,24,2-Year,4G,118.27,453,27,6,0,0
TEL-12770,3,1-Year,5G,83.41,630,6,4,0,0
TEL-12771,43,Month-to-Month,4G,22.17,539,47,4,0,0
TEL-12772,9,2-Year,4G,116.69,348,13,1,0,0
TEL-12773,69,,4G,33.55,750,34,2,0,0
TEL-12774,63,Month-to-Month,4G,114.39,372,39,0,2,1
TEL-12775,65,Month-to-Month,4G,70.94,356,21,1,0,0
TEL-12776,8,Month-to-Month,4G,69.84,433,32,0,1,1
TEL-12777,7,1-Year,5G,79.19,509,16,0,4,0
TEL-12778,13,Month-to-Month,4G,118.5,710,21,2,3,0
TEL-12779,10,Month-to-Month,5G,60.89,445,37,1,0,0
TEL-12780,30,Month-to-Month,5G,27.13,541,19,2,1,0
TEL-12781,60,Month-to-Month,4G,54.56,291,29,6,2,1
TEL-12782,27,Month-to-Month,4G,24.34,103,5,5,0,0
TEL-12783,25,Month-to-Month,4G,81.18,608,27,2,0,1
TEL-12784,58,Month-to-Month,4G,105.52,590,28,0,4,0
TEL-12785,16,Month-to-Month,5G,81.96,703,24,5,0,0
TEL-12786,51,1-Year,5G,91.7,550,12,2,0,0
TEL-12787,3,2-Year,5G,108.96,549,22,0,0,0
TEL-12788,8,Month-to-Month,4G,67.08,465,13,0,1,0
TEL-12789,68,2-Year,4G,73.21,588,34,2,2,0
TEL-12790,54,Month-to-Month,4G,90.62,0,69,0,0,1
TEL-12791,5,Month-to-Month,5G,86.94,765,29,2,0,1
TEL-12792,52,Month-to-Month,4G,62.61,578,21,4,0,0
TEL-12793,61,2-Year,4G,57.35,251,19,1,0,0
TEL-12794,2,Month-to-Month,4G,57.74,608,17,0,2,1
TEL-12795,11,Month-to-Month,4G,85.98,197,42,2,0,0
TEL-12796,41,Month-to-Month,4G,95.6,427,16,1,0,0
TEL-12797,55,2-Year,4G,62.01,413,25,0,0,0
TEL-12798,65,Month-to-Month,5G,100.6,559,33,2,0,0
TEL-12799,55,Month-to-Month,5G,101.09,0,98,2,1,1
TEL-12800,54,1-Year,4G,101.41,388,44,0,2,0
TEL-12801,45,2-Year,5G,36.62,662,43,2,0,0
TEL-12802,36,2-Year,4G,38.7,455,48,2,0,0
TEL-12803,47,2-Year,4G,95.6,318,42,1,3,0
TEL-12804,31,2-Year,4G,30.36,494,38,1,0,0
TEL-12805,18,Month-to-Month,5G,56.69,808,27,1,3,0
TEL-12806,9,,5G,72.29,414,18,3,0,0
TEL-12807,15,1-Year,4G,88.66,420,20,2,1,0
TEL-12808,62,2-Year,5G,76.58,428,25,3,0,0
TEL-12809,61,2-Year,4G,103.33,541,26,0,0,0
TEL-12810,13,Month-to-Month,4G,52.63,550,10,1,0,1
TEL-12811,37,1-Year,5G,111.12,439,30,2,0,0
TEL-12812,52,2-Year,5G,26.37,338,13,1,0,0
TEL-12813,63,2-Year,4G,33.78,540,26,2,0,0
TEL-12814,25,Month-to-Month,5G,86.35,535,21,1,0,0
TEL-12815,7,Month-to-Month,4G,29.91,329,24,2,0,0
TEL-12816,1,1-Year,4G,93.16,459,13,7,2,0
TEL-12817,3,1-Year,5G,26.08,362,22,1,1,0
TEL-12818,24,Month-to-Month,5G,32.33,698,25,0,0,0
TEL-12819,21,Month-to-Month,5G,97.53,392,16,0,3,1
TEL-12820,68,Month-to-Month,5G,108.14,518,30,0,2,0
TEL-12821,7,Month-to-Month,4G,101.52,512,41,0,1,0
TEL-12822,42,Month-to-Month,4G,81.31,582,6,0,0,0
TEL-12823,3,2-Year,4G,115.29,724,36,0,2,0
TEL-12824,51,Month-to-Month,4G,98.23,563,27,1,0,0
TEL-12825,10,1-Year,4G,97.08,867,32,2,0,0
TEL-12826,66,1-Year,5G,88.06,0,110,0,0,1
TEL-12827,58,1-Year,5G,66.02,0,103,0,0,1
TEL-12828,16,Month-to-Month,4G,73.55,123,24,4,0,0
TEL-12829,26,1-Year,4G,113.22,680,28,1,0,0
TEL-12830,22,1-Year,4G,32.36,0,99,1,1,1
TEL-12831,52,Month-to-Month,5G,49.2,522,23,2,0,0
TEL-12832,71,Month-to-Month,4G,40.12,455,27,2,2,0
TEL-12833,56,Month-to-Month,4G,27.49,285,24,0,0,1
TEL-12834,51,,5G,89.52,409,36,2,2,0
TEL-12835,39,,4G,90.03,465,18,0,0,0
TEL-12836,26,2-Year,4G,65.8,209,43,1,3,0
TEL-12837,71,Month-to-Month,5G,81.64,503,4,1,1,0
TEL-12838,62,Month-to-Month,4G,52.87,421,14,0,1,0
TEL-12839,30,1-Year,4G,65.35,262,44,0,2,1
TEL-12840,58,2-Year,4G,22.24,497,30,4,0,0
TEL-12841,55,1-Year,4G,83.51,511,28,2,0,0
TEL-12842,10,Month-to-Month,4G,64.46,412,26,1,1,0
TEL-12843,5,Month-to-Month,5G,64.28,549,21,2,0,0
TEL-12844,46,1-Year,5G,81.3,586,35,0,0,0
TEL-12845,28,Month-to-Month,5G,42.31,404,25,1,0,0
TEL-12846,38,Month-to-Month,4G,69.68,511,20,0,0,0
TEL-12847,21,1-Year,4G,71.79,593,37,0,0,0
TEL-12848,71,Month-to-Month,4G,104.98,661,14,1,1,0
TEL-12849,22,1-Year,4G,22.42,309,22,1,0,0
TEL-12850,54,Month-to-Month,5G,104.63,649,30,4,0,0
TEL-12851,42,2-Year,5G,52.94,429,22,0,0,0
TEL-12852,62,Month-to-Month,4G,96.66,398,33,0,0,0
TEL-12853,27,2-Year,5G,20.54,457,38,2,0,0
TEL-12854,47,2-Year,4G,71.6,296,5,1,1,0
TEL-12855,1,2-Year,5G,67.71,428,47,3,1,0
TEL-12856,21,1-Year,4G,41.77,753,26,0,0,0
TEL-12857,15,1-Year,4G,45.29,512,36,6,0,1
TEL-12858,57,Month-to-Month,4G,47.01,635,31,3,1,0
TEL-12859,24,Month-to-Month,4G,46.06,670,15,0,1,0
TEL-12860,46,Month-to-Month,5G,46.58,404,16,3,1,0
TEL-12861,31,Month-to-Month,4G,21.98,219,39,3,1,1
TEL-12862,44,,4G,32.37,650,18,0,2,0
TEL-12863,46,1-Year,4G,94.16,543,15,4,0,0
TEL-12864,52,Month-to-Month,5G,62.99,565,24,0,2,0
TEL-12865,50,Month-to-Month,4G,89.92,413,25,2,0,0
TEL-12866,36,,4G,69.49,418,21,0,2,0
TEL-12867,22,,5G,106.27,408,53,0,0,0
TEL-12868,1,2-Year,5G,22.98,542,29,2,1,0
TEL-12869,3,Month-to-Month,4G,40.78,564,46,0,1,1
TEL-12870,11,Month-to-Month,4G,118.77,305,46,0,1,1
TEL-12871,58,1-Year,5G,21.84,607,32,1,0,0
TEL-12872,68,Month-to-Month,4G,40.4,33,23,1,1,0
TEL-12873,59,Month-to-Month,4G,48.1,497,24,0,0,0
TEL-12874,61,2-Year,4G,89.76,494,17,3,0,0
TEL-12875,30,Month-to-Month,5G,87.29,511,16,1,0,0
TEL-12876,57,Month-to-Month,4G,54.93,421,27,0,0,0
TEL-12877,9,Month-to-Month,4G,77.63,617,9,0,0,0
TEL-12878,15,1-Year,5G,20.84,718,38,1,1,0
TEL-12879,44,Month-to-Month,4G,113.59,153,21,4,3,1
TEL-12880,40,Month-to-Month,4G,49.12,742,33,0,2,1
TEL-12881,70,1-Year,4G,41.62,673,24,0,0,0
TEL-12882,35,1-Year,4G,76.37,591,31,1,0,0
TEL-12883,36,2-Year,4G,86.64,401,26,1,0,0
TEL-12884,13,1-Year,4G,103.84,602,47,0,0,0
TEL-12885,50,Month-to-Month,5G,53.31,458,37,4,0,0
TEL-12886,50,1-Year,4G,21.5,448,23,2,0,0
TEL-12887,68,Month-to-Month,4G,24.5,0,66,0,2,1
TEL-12888,26,Month-to-Month,4G,28.74,402,27,1,0,0
TEL-12889,69,Month-to-Month,4G,29.09,384,44,0,4,0
TEL-12890,64,1-Year,4G,105.14,492,24,1,3,0
TEL-12891,40,Month-to-Month,4G,83.63,622,42,1,0,0
TEL-12892,54,,4G,40.92,431,16,1,0,0
TEL-12893,58,1-Year,4G,39.8,663,21,0,0,0
TEL-12894,16,2-Year,5G,89.9,668,25,0,3,1
TEL-12895,59,,4G,103.9,332,32,4,1,0
TEL-12896,21,1-Year,4G,27.6,382,31,4,0,0
TEL-12897,62,2-Year,5G,43.8,566,26,3,3,0
TEL-12898,4,Month-to-Month,5G,44.26,449,19,5,0,0
TEL-12899,40,1-Year,4G,114.56,773,32,0,1,0
TEL-12900,67,Month-to-Month,4G,87.83,596,16,3,1,1
TEL-12901,41,Month-to-Month,4G,61.11,469,39,0,0,0
TEL-12902,11,Month-to-Month,4G,79.68,318,25,0,0,0
TEL-12903,58,1-Year,5G,91.14,387,25,3,1,0
TEL-12904,2,Month-to-Month,5G,45.54,360,40,0,0,0
TEL-12905,21,1-Year,4G,103.0,500,34,1,1,0
TEL-12906,60,,5G,50.6,597,31,2,0,0
TEL-12907,36,Month-to-Month,4G,92.39,612,37,2,0,0
TEL-12908,8,2-Year,5G,101.28,345,21,3,0,0
TEL-12909,34,1-Year,5G,63.56,661,14,1,0,0
TEL-12910,65,Month-to-Month,5G,36.18,566,30,1,0,0
TEL-12911,60,Month-to-Month,4G,78.44,529,36,1,2,1
TEL-12912,34,Month-to-Month,4G,81.01,581,33,0,1,0
TEL-12913,52,Month-to-Month,4G,96.23,195,23,4,0,0
TEL-12914,57,2-Year,5G,55.34,443,27,4,0,0
TEL-12915,39,Month-to-Month,5G,94.56,606,25,0,0,0
TEL-12916,47,Month-to-Month,4G,86.94,498,16,1,3,0
TEL-12917,35,1-Year,5G,80.8,517,35,9,1,0
TEL-12918,46,Month-to-Month,5G,25.18,839,33,1,1,0
TEL-12919,52,Month-to-Month,4G,113.34,488,37,2,0,0
TEL-12920,70,1-Year,4G,104.01,310,29,1,4,0
TEL-12921,62,Month-to-Month,4G,115.35,267,39,0,0,1
TEL-12922,45,1-Year,4G,47.65,288,22,5,0,0
TEL-12923,30,1-Year,4G,74.9,529,26,0,0,0
TEL-12924,26,Month-to-Month,5G,100.11,676,30,0,0,0
TEL-12925,70,1-Year,5G,32.4,579,53,0,1,0
TEL-12926,55,,5G,29.69,347,32,1,0,0
TEL-12927,62,1-Year,5G,32.4,388,39,2,0,0
TEL-12928,50,,4G,60.61,480,16,6,0,0
TEL-12929,30,2-Year,5G,29.02,786,32,2,1,0
TEL-12930,56,Month-to-Month,4G,101.0,766,28,0,1,0
TEL-12931,45,1-Year,4G,50.87,987,30,0,0,0
TEL-12932,47,Month-to-Month,4G,62.81,514,30,3,0,1
TEL-12933,50,Month-to-Month,4G,118.85,693,18,2,0,0
TEL-12934,64,Month-to-Month,4G,29.85,578,29,2,0,0
TEL-12935,27,1-Year,4G,75.18,421,29,0,2,1
TEL-12936,27,Month-to-Month,4G,22.57,552,25,2,3,0
TEL-12937,43,Month-to-Month,4G,61.77,115,25,2,1,0
TEL-12938,55,Month-to-Month,5G,92.48,339,33,0,0,0
TEL-12939,10,Month-to-Month,4G,33.92,551,28,4,0,0
TEL-12940,69,1-Year,5G,41.98,555,18,0,0,0
TEL-12941,59,Month-to-Month,5G,52.91,371,44,1,0,0
TEL-12942,2,1-Year,5G,115.89,522,13,2,2,0
TEL-12943,11,2-Year,5G,27.77,563,45,0,1,0
TEL-12944,26,Month-to-Month,5G,56.12,465,21,9,0,0
TEL-12945,31,1-Year,4G,100.26,541,20,2,1,0
TEL-12946,49,1-Year,5G,105.98,273,17,0,0,0
TEL-12947,56,2-Year,5G,33.68,306,38,3,0,0
TEL-12948,27,2-Year,5G,47.63,526,34,1,0,0
TEL-12949,30,2-Year,4G,45.75,686,22,2,3,1
TEL-12950,19,Month-to-Month,4G,87.62,412,27,2,0,1
TEL-12951,15,Month-to-Month,4G,105.76,565,12,4,0,0
TEL-12952,26,Month-to-Month,4G,22.87,383,30,0,0,1
TEL-12953,43,Month-to-Month,4G,72.37,553,37,0,0,0
TEL-12954,42,1-Year,4G,48.77,0,117,5,0,1
TEL-12955,67,1-Year,4G,74.16,634,37,1,0,0
TEL-12956,57,Month-to-Month,5G,119.2,560,21,7,0,0
TEL-12957,59,1-Year,4G,99.81,675,17,9,0,0
TEL-12958,28,2-Year,4G,43.23,550,32,3,1,0
TEL-12959,27,1-Year,4G,70.48,464,26,1,0,0
TEL-12960,9,2-Year,4G,34.68,618,7,0,0,0
TEL-12961,5,Month-to-Month,5G,112.33,472,33,0,0,0
TEL-12962,9,2-Year,5G,74.7,437,25,0,1,0
TEL-12963,42,Month-to-Month,4G,109.13,450,26,0,0,0
TEL-12964,39,2-Year,4G,64.56,273,25,8,0,0
TEL-12965,49,Month-to-Month,4G,20.28,206,40,4,0,1
TEL-12966,7,Month-to-Month,4G,57.49,730,7,5,0,0
TEL-12967,64,1-Year,4G,91.58,332,37,1,1,0
TEL-12968,26,Month-to-Month,4G,37.48,502,25,1,0,0
TEL-12969,22,Month-to-Month,4G,106.69,579,26,0,0,0
TEL-12970,20,Month-to-Month,4G,22.5,529,18,0,0,0
TEL-12971,22,Month-to-Month,4G,72.84,673,21,0,0,0
TEL-12972,58,1-Year,4G,97.94,499,22,3,0,0
TEL-12973,56,1-Year,5G,112.03,593,35,3,0,0
TEL-12974,48,Month-to-Month,4G,63.87,616,18,4,1,1
TEL-12975,20,Month-to-Month,4G,78.15,0,95,1,0,1
TEL-12976,5,1-Year,5G,87.46,477,32,2,0,0
TEL-12977,45,1-Year,4G,48.99,365,24,0,0,0
TEL-12978,30,2-Year,4G,27.08,0,81,2,0,1
TEL-12979,61,Month-to-Month,4G,112.13,327,28,0,0,0
TEL-12980,53,2-Year,5G,45.87,462,29,0,0,0
TEL-12981,34,Month-to-Month,4G,81.68,636,15,1,0,0
TEL-12982,31,1-Year,4G,33.48,0,113,5,0,1
TEL-12983,36,1-Year,4G,62.36,517,24,2,0,0
TEL-12984,25,1-Year,4G,77.68,438,34,0,1,0
TEL-12985,16,Month-to-Month,4G,79.51,409,53,1,0,1
TEL-12986,38,Month-to-Month,4G,87.13,620,9,0,1,0
TEL-12987,21,,5G,39.22,394,19,1,0,0
TEL-12988,59,Month-to-Month,4G,103.34,624,30,6,3,1
TEL-12989,41,1-Year,4G,85.84,625,19,0,0,0
TEL-12990,42,2-Year,4G,97.37,525,40,0,1,0
TEL-12991,45,Month-to-Month,4G,24.15,472,31,1,0,0
TEL-12992,15,1-Year,5G,116.13,711,2,0,4,1
TEL-12993,8,Month-to-Month,5G,111.7,665,25,1,0,0
TEL-12994,62,Month-to-Month,4G,82.44,726,19,8,0,1
TEL-12995,19,1-Year,4G,98.37,486,21,0,0,0
TEL-12996,21,Month-to-Month,5G,37.3,372,29,0,1,1
TEL-12997,17,Month-to-Month,4G,29.99,410,38,0,1,0
TEL-12998,70,1-Year,4G,98.45,837,48,2,2,0
TEL-12999,43,Month-to-Month,5G,29.3,627,29,0,2,0
TEL-13000,53,2-Year,5G,50.39,621,19,0,0,0
TEL-13001,2,Month-to-Month,4G,20.97,377,13,0,0,0
TEL-13002,56,1-Year,5G,35.62,442,45,0,0,0
TEL-13003,60,1-Year,4G,115.36,366,23,3,1,0
TEL-13004,68,Month-to-Month,4G,112.7,486,19,2,0,0
TEL-13005,47,Month-to-Month,4G,60.37,498,15,1,3,0
TEL-13006,30,Month-to-Month,4G,89.95,357,28,1,0,0
TEL-13007,64,Month-to-Month,4G,100.87,452,3,1,1,0
TEL-13008,63,2-Year,4G,101.84,697,30,3,0,0
TEL-13009,63,Month-to-Month,4G,34.87,329,38,1,1,0
TEL-13010,10,Month-to-Month,4G,118.06,520,18,0,2,0
TEL-13011,50,Month-to-Month,4G,83.53,519,21,0,0,0
TEL-13012,36,Month-to-Month,4G,75.96,473,19,5,2,1
TEL-13013,50,Month-to-Month,4G,70.18,482,16,1,0,0
TEL-13014,51,1-Year,4G,27.6,403,28,1,1,0
TEL-13015,66,Month-to-Month,5G,114.29,500,47,0,2,1
TEL-13016,59,2-Year,4G,92.89,464,24,3,0,0
TEL-13017,62,1-Year,4G,42.19,600,5,0,1,0
TEL-13018,47,,4G,60.94,553,23,1,2,0
TEL-13019,25,1-Year,4G,69.21,265,30,0,0,0
TEL-13020,70,Month-to-Month,4G,69.59,476,17,1,0,0
TEL-13021,37,1-Year,4G,59.74,313,10,2,0,0
